epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.545,2.2634,2.92559,1.77339,0.48368,0.20924,0.14787,0.05507,2.40857,3.46783,2.01722,0.000415726,0.000415726,0.000415726
2,649.301,2.35854,2.56207,1.88191,0.45851,0.20254,0.14655,0.05255,2.37828,3.13305,1.93396,0.000815911,0.000815911,0.000815911
3,1723.15,2.35725,2.52415,1.86663,0.18487,0.20802,0.12437,0.04341,2.36251,2.92979,1.99421,0.0011996,0.0011996,0.0011996
4,2547.66,2.30684,2.41347,1.84389,0.23995,0.23554,0.1801,0.06821,2.29526,2.35222,1.90573,0.00117575,0.00117575,0.00117575
5,3201.69,2.21652,2.34667,1.7855,0.27415,0.25261,0.19023,0.07755,2.2083,2.43981,1.84154,0.001151,0.001151,0.001151
6,3885.67,2.17684,2.23023,1.74855,0.25869,0.3064,0.24765,0.0959,2.23162,2.19407,1.80827,0.00112625,0.00112625,0.00112625
7,4825.83,2.13269,2.19458,1.71324,0.31939,0.2614,0.2054,0.07956,2.19976,2.39042,1.84538,0.0011015,0.0011015,0.0011015
8,5269.42,2.09344,2.1211,1.68337,0.3494,0.36329,0.31073,0.12991,2.09387,1.96135,1.72293,0.00107675,0.00107675,0.00107675
9,5983.25,2.07055,2.08516,1.67816,0.36139,0.23925,0.20745,0.08343,2.28143,2.43551,1.87956,0.001052,0.001052,0.001052
10,6354.59,2.03778,2.01074,1.64804,0.6138,0.30461,0.32391,0.14202,1.9965,2.02266,1.69087,0.00102725,0.00102725,0.00102725
11,6788.34,2.01515,2.00591,1.6287,0.3877,0.34615,0.32438,0.1356,2.01944,1.9503,1.69231,0.0010025,0.0010025,0.0010025
12,7210.79,1.98364,1.97173,1.62128,0.37154,0.36153,0.32327,0.13403,2.0447,1.95933,1.68973,0.00097775,0.00097775,0.00097775
13,7567.02,1.96914,1.92276,1.59782,0.37336,0.37141,0.32175,0.13999,2.02586,1.96299,1.68302,0.000953,0.000953,0.000953
14,7937.89,1.9215,1.86363,1.57557,0.42305,0.41908,0.38971,0.17063,1.93346,1.81769,1.62178,0.00092825,0.00092825,0.00092825
15,8507.68,1.93835,1.8791,1.57892,0.43745,0.41732,0.38246,0.16219,1.94659,1.80884,1.64562,0.0009035,0.0009035,0.0009035
16,9081.95,1.9199,1.81469,1.56407,0.40405,0.42422,0.38433,0.16892,1.93894,1.79355,1.63604,0.00087875,0.00087875,0.00087875
17,9657.28,1.90832,1.82027,1.56891,0.41466,0.49429,0.41829,0.18208,1.91407,1.70938,1.62635,0.000854,0.000854,0.000854
18,10251.6,1.89437,1.77425,1.5382,0.44546,0.44478,0.41466,0.1817,1.96479,1.73083,1.64542,0.00082925,0.00082925,0.00082925
19,10563.4,1.86232,1.74169,1.53425,0.45768,0.43463,0.41477,0.18214,1.92844,1.75667,1.64046,0.0008045,0.0008045,0.0008045
20,10925.2,1.84455,1.69712,1.51396,0.4287,0.47397,0.42024,0.19072,1.92531,1.67592,1.62584,0.00077975,0.00077975,0.00077975
21,11264,1.8438,1.69876,1.51386,0.44231,0.42358,0.39216,0.17141,1.93238,1.78278,1.62586,0.000755,0.000755,0.000755
22,11537.6,1.82277,1.69188,1.51044,0.45398,0.51056,0.45073,0.2041,1.88055,1.64699,1.59523,0.00073025,0.00073025,0.00073025
23,11733.9,1.80355,1.64879,1.49989,0.46645,0.46418,0.43605,0.19567,1.88378,1.67326,1.61837,0.0007055,0.0007055,0.0007055
24,11987.2,1.80982,1.63187,1.49711,0.45567,0.48102,0.45602,0.20709,1.89335,1.59823,1.60258,0.00068075,0.00068075,0.00068075
25,12266.2,1.78443,1.61153,1.48391,0.4776,0.49329,0.47562,0.21837,1.85299,1.5781,1.58648,0.000656,0.000656,0.000656
